"platform","hospital","x","est","lo","hi"
"da Vinci","SM",82,151.9624547478,142.302036304073,162.255350878759
"da Vinci","SM",83,153.361992835154,143.676397936115,163.748991937585
"da Vinci","SM",84,154.743173252819,145.009596728736,165.309065231984
"da Vinci","SM",85,156.098892964605,146.28160425461,166.824904117354
"da Vinci","SM",86,157.422002898206,147.379876413152,168.283082198125
"da Vinci","SM",87,158.705358405864,148.565903435614,169.650660134908
"da Vinci","SM",88,159.941873640631,149.678738800649,171.281342754364
"da Vinci","SM",89,161.124579312427,150.86772177855,172.867961222596
"da Vinci","SM",90,162.246683171595,151.769102954977,174.261602505147
"da Vinci","SM",91,163.301632457004,152.436584518172,175.382844462924
"da Vinci","SM",92,164.283177444867,153.40075081237,176.64238227595
"da Vinci","SM",93,165.185435147422,154.106130729676,177.755545418385
"da Vinci","SM",94,166.002952141236,154.802629560504,178.725240133891
"da Vinci","SM",95,166.730765456789,155.323891077072,179.525838752235
"da Vinci","SM",96,167.364460437319,156.137631572424,180.233935636905
"da Vinci","SM",97,167.900224478076,156.435909770509,180.860797374456
"da Vinci","SM",98,168.334895588901,156.931755649072,181.276238614189
"da Vinci","SM",99,168.666004784018,157.208278164179,181.44963376776
"da Vinci","SM",100,168.891811392889,157.362778484924,181.541069392336
"da Vinci","SM",101,169.011330503357,157.427724800547,181.466000255211
"da Vinci","SM",102,169.024351890667,157.406719015728,181.445626361259
"da Vinci","SM",103,168.931449949572,157.529676329127,181.374945117149
"da Vinci","SM",104,168.733984327131,157.378158973246,180.943755127411
"da Vinci","SM",105,168.434091145558,157.28285855937,180.621485817209
"da Vinci","SM",106,168.034664901732,157.158923936134,180.164126586424
"da Vinci","SM",107,167.539331326398,156.889765553225,179.748021470114
"da Vinci","SM",108,166.952411675378,156.299790930861,179.026590854912
"da Vinci","SM",109,166.278879101176,155.724291614583,178.345804981144
"da Vinci","SM",110,165.524307910564,154.971931448368,177.607142459644
"da Vinci","SM",111,164.694816647141,154.212780471381,176.746167287468
"da Vinci","SM",112,163.79700604359,153.368420528936,175.546413079565
"da Vinci","SM",113,162.837892963509,152.57547686333,174.663140495035
"da Vinci","SM",114,161.824841495626,151.486191060978,173.636021225572
"da Vinci","SM",115,160.765492373534,150.319355004682,172.50707400155
"da Vinci","SM",116,159.667691872657,149.263756736096,171.393035371688
"da Vinci","SM",117,158.539421284854,148.169561478106,170.264346835318
"da Vinci","SM",118,157.388727993018,147.174535614045,169.135917272545
"da Vinci","SM",119,156.223659066844,146.053087502685,167.775546992365
"da Vinci","SM",120,155.052198181271,144.973614272019,166.418676969929
"da Vinci","SM",121,153.882206525616,143.797365015719,165.202112333613
"da Vinci","SM",122,152.72136822923,142.525488432517,163.821456586765
"da Vinci","SM",123,151.577140683579,141.289470630472,162.588251013001
"da Vinci","SM",124,150.45670999572,140.343476203923,161.366297395268
